# DerivedCoreProperties-16.0.0.txt
# Date: 2024-05-31, 18:09:32 GMT
# © 2024 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Derived Property: Math
#  Generated from: Sm + Other_Math

002B          ; Math
1D4AE..1D4B9  ; Cased
1D4BB         ; Cased
1D4BD..1D4C3  ; Cased
1D4C5..1D505  ; Cased
1D507..1D50A  ; Cased
1D50D..1D514  ; Cased
1D516..1D51C  ; Cased
1D51E..1D539  ; Cased
1D53B..1D53E  ; Cased
1D540..1D544  ; Cased
1D546         ; Cased
1D54A..1D550  ; Cased
1D552..1D6A5  ; Cased
1D6A8..1D6C0  ; Cased
1D6C2..1D6DA  ; Cased
1D6DC..1D6FA  ; Cased
1D6FC..1D714  ; Cased
1D716..1D734  ; Cased
1D736..1D74E  ; Cased
1D750..1D76E  ; Cased
1D770..1D788  ; Cased
1D78A..1D7A8  ; Cased
1D7AA..1D7C2  ; Cased
1D7C4..1D7CB  ; Cased
1DF00..1DF09  ; Cased
1DF0B..1DF1E  ; Cased
1DF25..1DF2A  ; Cased
1E030..1E06D  ; Cased
1E900..1E943  ; Cased
1F130..1F149  ; Cased
1F150..1F169  ; Cased
1F170..1F189  ; Cased

# Total code points: 4578

# ================================================

# Derived Property:   Case_Ignorable (CI)
#  As defined by Unicode Standard Definition D136
#  C is defined to be case-ignorable if
#    Word_Break(C) = MidLetter or MidNumLet or Single_Quote, or
#    General_Category(C) = Nonspacing_Mark (Mn), Enclosing_Mark (Me), Format (Cf), Modifier_Letter (Lm), or Modifier_Symbol (Sk).

0027          ; Case_Ignorable
002E          ; Case_Ignorable
003A          ; Case_Ignorable
005E          ; Case_Ignorable
0060          ; Case_Ignorable
00A8          ; Case_Ignorable
00AD          ; Case_Ignorable
00AF          ; Case_Ignorable
00B4          ; Case_Ignorable
00B7          ; Case_Ignorable
00B8          ; Case_Ignorable
02B0..02C1    ; Case_Ignorable
02C2..02C5    ; Case_Ignorable
02C6..02D1    ; Case_Ignorable
02D2..02DF    ; Case_Ignorable
02E0..02E4    ; Case_Ignorable
02E5..02EB    ; Case_Ignorable
02EC          ; Case_Ignorable
02ED          ; Case_Ignorable
02EE          ; Case_Ignorable
02EF..02FF    ; Case_Ignorable
0300..036F    ; Case_Ignorable
0374          ; Case_Ignorable
0375          ; Case_Ignorable
037A          ; Case_Ignorable
0384..0385    ; Case_Ignorable
0387          ; Case_Ignorable
0483..0487    ; Case_Ignorable
0488..0489    ; Case_Ignorable
0559          ; Case_Ignorable
055F          ; Case_Ignorable
0591..05BD    ; Case_Ignorable
05BF          ; Case_Ignorable
05C1..05C2    ; Case_Ignorable
05C4..05C5    ; Case_Ignorable
05C7          ; Case_Ignorable
05F4          ; Case_Ignorable
0600..0605    ; Case_Ignorable
0610..061A    ; Case_Ignorable
061C          ; Case_Ignorable
0640          ; Case_Ignorable
064B..065F    ; Case_Ignorable
0670          ; Case_Ignorable
06D6..06DC    ; Case_Ignorable
06DD          ; Case_Ignorable
06DF..06E4    ; Case_Ignorable
06E5..06E6    ; Case_Ignorable
06E7..06E8    ; Case_Ignorable
06EA..06ED    ; Case_Ignorable
070F          ; Case_Ignorable
0711          ; Case_Ignorable
0730..074A    ; Case_Ignorable
07A6..07B0    ; Case_Ignorable
07EB..07F3    ; Case_Ignorable
07F4..07F5    ; Case_Ignorable
07FA          ; Case_Ignorable
07FD          ; Case_Ignorable
0816..0819    ; Case_Ignorable
081A          ; Case_Ignorable
081B..0823    ; Case_Ignorable
0824          ; Case_Ignorable
0825..0827    ; Case_Ignorable
0828          ; Case_Ignorable
0829..082D    ; Case_Ignorable
0859..085B    ; Case_Ignorable
0888          ; Case_Ignorable
0890..0891    ; Case_Ignorable
0897..089F    ; Case_Ignorable
08C9          ; Case_Ignorable
08CA..08E1    ; Case_Ignorable
08E2          ; Case_Ignorable
08E3..0902    ; Case_Ignorable
093A          ; Case_Ignorable
093C          ; Case_Ignorable
0941..0948    ; Case_Ignorable
094D          ; Case_Ignorable
0951..0957    ; Case_Ignorable
0962..0963    ; Case_Ignorable
0971          ; Case_Ignorable
0981          ; Case_Ignorable
09BC          ; Case_Ignorable
09C1..09C4    ; Case_Ignorable
09CD          ; Case_Ignorable
09E2..09E3    ; Case_Ignorable
09FE          ; Case_Ignorable
0A01..0A02    ; Case_Ignorable
0A3C          ; Case_Ignorable
0A41..0A42    ; Case_Ignorable
0A47..0A48    ; Case_Ignorable
0A4B..0A4D    ; Case_Ignorable
0A51          ; Case_Ignorable
0A70..0A71    ; Case_Ignorable
0A75          ; Case_Ignorable
0A81..0A82    ; Case_Ignorable
0ABC          ; Case_Ignorable
0AC1..0AC5    ; Case_Ignorable
0AC7..0AC8    ; Case_Ignorable
0ACD          ; Case_Ignorable
0AE2..0AE3    ; Case_Ignorable
0AFA..0AFF    ; Case_Ignorable
0B01          ; Case_Ignorable
0B3C          ; Case_Ignorable
0B3F          ; Case_Ignorable
0B41..0B44    ; Case_Ignorable
0B4D          ; Case_Ignorable
0B55..0B56    ; Case_Ignorable
0B62..0B63    ; Case_Ignorable
0B82          ; Case_Ignorable
0BC0          ; Case_Ignorable
0BCD          ; Case_Ignorable
0C00          ; Case_Ignorable
0C04          ; Case_Ignorable
0C3C          ; Case_Ignorable
0C3E..0C40    ; Case_Ignorable
0C46..0C48    ; Case_Ignorable
0C4A..0C4D    ; Case_Ignorable
0C55..0C56    ; Case_Ignorable
0C62..0C63    ; Case_Ignorable
0C81          ; Case_Ignorable
0CBC          ; Case_Ignorable
0CBF          ; Case_Ignorable
0CC6          ; Case_Ignorable
0CCC..0CCD    ; Case_Ignorable
0CE2..0CE3    ; Case_Ignorable
0D00..0D01    ; Case_Ignorable
0D3B..0D3C    ; Case_Ignorable
0D41..0D44    ; Case_Ignorable
0D4D          ; Case_Ignorable
0D62..0D63    ; Case_Ignorable
0D81          ; Case_Ignorable
0DCA          ; Case_Ignorable
0DD2..0DD4    ; Case_Ignorable
0DD6          ; Case_Ignorable
0E31          ; Case_Ignorable
0E34..0E3A    ; Case_Ignorable
0E46          ; Case_Ignorable
0E47..0E4E    ; Case_Ignorable
0EB1          ; Case_Ignorable
0EB4..0EBC    ; Case_Ignorable
0EC6          ; Case_Ignorable
0EC8..0ECE    ; Case_Ignorable
0F18..0F19    ; Case_Ignorable
0F35          ; Case_Ignorable
0F37          ; Case_Ignorable
0F39          ; Case_Ignorable
0F71..0F7E    ; Case_Ignorable
0F80..0F84    ; Case_Ignorable
0F86..0F87    ; Case_Ignorable
0F8D..0F97    ; Case_Ignorable
0F99..0FBC    ; Case_Ignorable
0FC6          ; Case_Ignorable
102D..1030    ; Case_Ignorable
1032..1037    ; Case_Ignorable
1039..103A    ; Case_Ignorable
103D..103E    ; Case_Ignorable
1058..1059    ; Case_Ignorable
105E..1060    ; Case_Ignorable
1071..1074    ; Case_Ignorable
1082          ; Case_Ignorable
1085..1086    ; Case_Ignorable
108D          ; Case_Ignorable
109D          ; Case_Ignorable
10FC          ; Case_Ignorable
135D..135F    ; Case_Ignorable
1712..1714    ; Case_Ignorable
1732..1733    ; Case_Ignorable
1752..1753    ; Case_Ignorable
1772..1773    ; Case_Ignorable
17B4..17B5    ; Case_Ignorable
17B7..17BD    ; Case_Ignorable
17C6          ; Case_Ignorable
17C9..17D3    ; Case_Ignorable
17D7          ; Case_Ignorable
17DD          ; Case_Ignorable
180B..180D    ; Case_Ignorable
180E          ; Case_Ignorable
180F          ; Case_Ignorable
1843          ; Case_Ignorable
1885..1886    ; Case_Ignorable
18A9          ; Case_Ignorable
1920..1922    ; Case_Ignorable
1927..1928    ; Case_Ignorable
1932          ; Case_Ignorable
1939..193B    ; Case_Ignorable
1A17..1A18    ; Case_Ignorable
1A1B          ; Case_Ignorable
1A56          ; Case_Ignorable
1A58..1A5E    ; Case_Ignorable
1A60          ; Case_Ignorable
1A62          ; Case_Ignorable
1A65..1A6C    ; Case_Ignorable
1A73..1A7C    ; Case_Ignorable
1A7F          ; Case_Ignorable
1AA7          ; Case_Ignorable
1AB0..1ABD    ; Case_Ignorable
1ABE          ; Case_Ignorable
1ABF..1ACE    ; Case_Ignorable
1B00..1B03    ; Case_Ignorable
1B34          ; Case_Ignorable
1B36..1B3A    ; Case_Ignorable
1B3C          ; Case_Ignorable
1B42          ; Case_Ignorable
1B6B..1B73    ; Case_Ignorable
1B80..1B81    ; Case_Ignorable
1BA2..1BA5    ; Case_Ignorable
1BA8..1BA9    ; Case_Ignorable
1BAB..1BAD    ; Case_Ignorable
1BE6          ; Case_Ignorable
1BE8..1BE9    ; Case_Ignorable
1BED          ; Case_Ignorable
1BEF..1BF1    ; Case_Ignorable
1C2C..1C33    ; Case_Ignorable
1C36..1C37    ; Case_Ignorable
1C78..1C7D    ; Case_Ignorable
1CD0..1CD2    ; Case_Ignorable
1CD4..1CE0    ; Case_Ignorable
1CE2..1CE8    ; Case_Ignorable
1CED          ; Case_Ignorable
1CF4          ; Case_Ignorable
1CF8..1CF9    ; Case_Ignorable
1D2C..1D6A    ; Case_Ignorable
1D78          ; Case_Ignorable
1D9B..1DBF    ; Case_Ignorable
1DC0..1DFF    ; Case_Ignorable
1FBD          ; Case_Ignorable
1FBF..1FC1    ; Case_Ignorable
1FCD..1FCF    ; Case_Ignorable
1FDD..1FDF    ; Case_Ignorable
1FED..1FEF    ; Case_Ignorable
1FFD..1FFE    ; Case_Ignorable
200B..200F    ; Case_Ignorable
2018          ; Case_Ignorable
2019          ; Case_Ignorable
2024          ; Case_Ignorable
2027          ; Case_Ignorable
202A..202E    ; Case_Ignorable
2060..2064    ; Case_Ignorable
2066..206F    ; Case_Ignorable
2071          ; Case_Ignorable
207F          ; Case_Ignorable
2090..209C    ; Case_Ignorable
20D0..20DC    ; Case_Ignorable
20DD..20E0    ; Case_Ignorable
20E1          ; Case_Ignorable
20E2..20E4    ; Case_Ignorable
20E5..20F0    ; Case_Ignorable
2C7C..2C7D    ; Case_Ignorable
2CEF..2CF1    ; Case_Ignorable
2D6F          ; Case_Ignorable
2D7F          ; Case_Ignorable
2DE0..2DFF    ; Case_Ignorable
2E2F          ; Case_Ignorable
3005          ; Case_Ignorable
302A..302D    ; Case_Ignorable
3031..3035    ; Case_Ignorable
303B          ; Case_Ignorable
3099..309A    ; Case_Ignorable
309B..309C    ; Case_Ignorable
309D..309E    ; Case_Ignorable
30FC..30FE    ; Case_Ignorable
A015          ; Case_Ignorable
A4F8..A4FD    ; Case_Ignorable
A60C          ; Case_Ignorable
A66F          ; Case_Ignorable
A670..A672    ; Case_Ignorable
A674..A67D    ; Case_Ignorable
A67F          ; Case_Ignorable
A69C..A69D    ; Case_Ignorable
A69E..A69F    ; Case_Ignorable
A6F0..A6F1    ; Case_Ignorable
A700..A716    ; Case_Ignorable
A717..A71F    ; Case_Ignorable
A720..A721    ; Case_Ignorable
A770          ; Case_Ignorable
A788          ; Case_Ignorable
A789..A78A    ; Case_Ignorable
A7F2..A7F4    ; Case_Ignorable
A7F8..A7F9    ; Case_Ignorable
A802          ; Case_Ignorable
A806          ; Case_Ignorable
A80B          ; Case_Ignorable
A825..A826    ; Case_Ignorable
A82C          ; Case_Ignorable
A8C4..A8C5    ; Case_Ignorable
A8E0..A8F1    ; Case_Ignorable
A8FF          ; Case_Ignorable
A926..A92D    ; Case_Ignorable
A947..A951    ; Case_Ignorable
A980..A982    ; Case_Ignorable
A9B3          ; Case_Ignorable
A9B6..A9B9    ; Case_Ignorable
A9BC..A9BD    ; Case_Ignorable
A9CF          ; Case_Ignorable
A9E5          ; Case_Ignorable
A9E6          ; Case_Ignorable
AA29..AA2E    ; Case_Ignorable
AA31..AA32    ; Case_Ignorable
AA35..AA36    ; Case_Ignorable
AA43          ; Case_Ignorable
AA4C          ; Case_Ignorable
AA70          ; Case_Ignorable
AA7C          ; Case_Ignorable
AAB0          ; Case_Ignorable
AAB2..AAB4    ; Case_Ignorable
AAB7..AAB8    ; Case_Ignorable
AABE..AABF    ; Case_Ignorable
AAC1          ; Case_Ignorable
AADD          ; Case_Ignorable
AAEC..AAED    ; Case_Ignorable
AAF3..AAF4    ; Case_Ignorable
AAF6          ; Case_Ignorable
AB5B          ; Case_Ignorable
AB5C..AB5F    ; Case_Ignorable
AB69          ; Case_Ignorable
AB6A..AB6B    ; Case_Ignorable
ABE5          ; Case_Ignorable
ABE8          ; Case_Ignorable
ABED          ; Case_Ignorable
F870..F87F    ; Case_Ignorable
F884..F899    ; Case_Ignorable
F89F          ; Case_Ignorable
F8B8          ; Case_Ignorable
FB1E          ; Case_Ignorable
FBB2..FBC2    ; Case_Ignorable
FE00..FE0F    ; Case_Ignorable
FE13          ; Case_Ignorable
FE20..FE2F    ; Case_Ignorable
FE52          ; Case_Ignorable
FE55          ; Case_Ignorable
FEFF          ; Case_Ignorable
FF07          ; Case_Ignorable
FF0E          ; Case_Ignorable
FF1A          ; Case_Ignorable
FF3E          ; Case_Ignorable
FF40          ; Case_Ignorable
FF70          ; Case_Ignorable
FF9E..FF9F    ; Case_Ignorable
FFE3          ; Case_Ignorable
FFF9..FFFB    ; Case_Ignorable
101FD         ; Case_Ignorable
102E0         ; Case_Ignorable
10376..1037A  ; Case_Ignorable
10780..10785  ; Case_Ignorable
10787..107B0  ; Case_Ignorable
107B2..107BA  ; Case_Ignorable
10A01..10A03  ; Case_Ignorable
10A05..10A06  ; Case_Ignorable
10A0C..10A0F  ; Case_Ignorable
10A38..10A3A  ; Case_Ignorable
10A3F         ; Case_Ignorable
10AE5..10AE6  ; Case_Ignorable
10D24..10D27  ; Case_Ignorable
10D4E         ; Case_Ignorable
10D69..10D6D  ; Case_Ignorable
10D6F         ; Case_Ignorable
10EAB..10EAC  ; Case_Ignorable
10EFC..10EFF  ; Case_Ignorable
10F46..10F50  ; Case_Ignorable
10F82..10F85  ; Case_Ignorable
11001         ; Case_Ignorable
11038..11046  ; Case_Ignorable
11070         ; Case_Ignorable
11073..11074  ; Case_Ignorable
1107F..11081  ; Case_Ignorable
110B3..110B6  ; Case_Ignorable
110B9..110BA  ; Case_Ignorable
110BD         ; Case_Ignorable
110C2         ; Case_Ignorable
110CD         ; Case_Ignorable
11100..11102  ; Case_Ignorable
11127..1112B  ; Case_Ignorable
1112D..11134  ; Case_Ignorable
11173         ; Case_Ignorable
11180..11181  ; Case_Ignorable
111B6..111BE  ; Case_Ignorable
111C9..111CC  ; Case_Ignorable
111CF         ; Case_Ignorable
1122F..11231  ; Case_Ignorable
11234         ; Case_Ignorable
11236..11237  ; Case_Ignorable
1123E         ; Case_Ignorable
11241         ; Case_Ignorable
112DF         ; Case_Ignorable
112E3..112EA  ; Case_Ignorable
11300..11301  ; Case_Ignorable
1133B..1133C  ; Case_Ignorable
11340         ; Case_Ignorable
11366..1136C  ; Case_Ignorable
11370..11374  ; Case_Ignorable
113BB..113C0  ; Case_Ignorable
113CE         ; Case_Ignorable
113D0         ; Case_Ignorable
113D2         ; Case_Ignorable
113E1..113E2  ; Case_Ignorable
11438..1143F  ; Case_Ignorable
11442..11444  ; Case_Ignorable
11446         ; Case_Ignorable
1145E         ; Case_Ignorable
114B3..114B8  ; Case_Ignorable
114BA         ; Case_Ignorable
114BF..114C0  ; Case_Ignorable
114C2..114C3  ; Case_Ignorable
115B2..115B5  ; Case_Ignorable
115BC..115BD  ; Case_Ignorable
115BF..115C0  ; Case_Ignorable
115DC..115DD  ; Case_Ignorable
11633..1163A  ; Case_Ignorable
1163D         ; Case_Ignorable
1163F..11640  ; Case_Ignorable
116AB         ; Case_Ignorable
116AD         ; Case_Ignorable
116B0..116B5  ; Case_Ignorable
116B7         ; Case_Ignorable
1171D         ; Case_Ignorable
1171F         ; Case_Ignorable
11722..11725  ; Case_Ignorable
11727..1172B  ; Case_Ignorable
1182F..11837  ; Case_Ignorable
11839..1183A  ; Case_Ignorable
1193B..1193C  ; Case_Ignorable
1193E         ; Case_Ignorable
11943         ; Case_Ignorable
119D4..119D7  ; Case_Ignorable
119DA..119DB  ; Case_Ignorable
119E0         ; Case_Ignorable
11A01..11A0A  ; Case_Ignorable
11A33..11A38  ; Case_Ignorable
11A3B..11A3E  ; Case_Ignorable
11A47         ; Case_Ignorable
11A51..11A56  ; Case_Ignorable
11A59..11A5B  ; Case_Ignorable
11A8A..11A96  ; Case_Ignorable
11A98..11A99  ; Case_Ignorable
11C30..11C36  ; Case_Ignorable
11C38..11C3D  ; Case_Ignorable
11C3F         ; Case_Ignorable
11C92..11CA7  ; Case_Ignorable
11CAA..11CB0  ; Case_Ignorable
11CB2..11CB3  ; Case_Ignorable
11CB5..11CB6  ; Case_Ignorable
11D31..11D36  ; Case_Ignorable
11D3A         ; Case_Ignorable
11D3C..11D3D  ; Case_Ignorable
11D3F..11D45  ; Case_Ignorable
11D47         ; Case_Ignorable
11D90..11D91  ; Case_Ignorable
11D95         ; Case_Ignorable
11D97         ; Case_Ignorable
11EF3..11EF4  ; Case_Ignorable
11F00..11F01  ; Case_Ignorable
11F36..11F3A  ; Case_Ignorable
11F40         ; Case_Ignorable
11F42         ; Case_Ignorable
11F5A         ; Case_Ignorable
13430..1343F  ; Case_Ignorable
13440         ; Case_Ignorable
13447..13455  ; Case_Ignorable
1611E..16129  ; Case_Ignorable
1612D..1612F  ; Case_Ignorable
16AF0..16AF4  ; Case_Ignorable
16B30..16B36  ; Case_Ignorable
16B40..16B43  ; Case_Ignorable
16D40..16D42  ; Case_Ignorable
16D6B..16D6C  ; Case_Ignorable
16F4F         ; Case_Ignorable
16F8F..16F92  ; Case_Ignorable
16F93..16F9F  ; Case_Ignorable
16FE0..16FE1  ; Case_Ignorable
16FE3         ; Case_Ignorable
16FE4         ; Case_Ignorable
1AFF0..1AFF3  ; Case_Ignorable
1AFF5..1AFFB  ; Case_Ignorable
1AFFD..1AFFE  ; Case_Ignorable
1BC9D..1BC9E  ; Case_Ignorable
1BCA0..1BCA3  ; Case_Ignorable
1CF00..1CF2D  ; Case_Ignorable
1CF30..1CF46  ; Case_Ignorable
1D167..1D169  ; Case_Ignorable
1D173..1D17A  ; Case_Ignorable
1D17B..1D182  ; Case_Ignorable
1D185..1D18B  ; Case_Ignorable
1D1AA..1D1AD  ; Case_Ignorable
1D242..1D244  ; Case_Ignorable
1DA00..1DA36  ; Case_Ignorable
1DA3B..1DA6C  ; Case_Ignorable
1DA75         ; Case_Ignorable
1DA84         ; Case_Ignorable
1DA9B..1DA9F  ; Case_Ignorable
1DAA1..1DAAF  ; Case_Ignorable
1E000..1E006  ; Case_Ignorable
1E008..1E018  ; Case_Ignorable
1E01B..1E021  ; Case_Ignorable
1E023..1E024  ; Case_Ignorable
1E026..1E02A  ; Case_Ignorable
1E030..1E06D  ; Case_Ignorable
1E08F         ; Case_Ignorable
1E130..1E136  ; Case_Ignorable
1E137..1E13D  ; Case_Ignorable
1E2AE         ; Case_Ignorable
1E2EC..1E2EF  ; Case_Ignorable
1E4EB         ; Case_Ignorable
1E4EC..1E4EF  ; Case_Ignorable
1E5EE..1E5EF  ; Case_Ignorable
1E8D0..1E8D6  ; Case_Ignorable
1E944..1E94A  ; Case_Ignorable
1E94B         ; Case_Ignorable
1F3FB..1F3FF  ; Case_Ignorable
E0001         ; Case_Ignorable
E0020..E007F  ; Case_Ignorable
E0100..E01EF  ; Case_Ignorable

# Total code points: 2749

# ================================================

# Derived Property:   Changes_When_Lowercased (CWL)
#  Characters whose normalized forms are not stable under a toLowercase mapping.
#  For more information, see D139 in Section 3.13, "Default Case Algorithms".
#  Changes_When_Lowercased(X) is true when toLowercase(toNFD(X)) != toNFD(X)

0041..005A    ; Changes_When_Lowercased
00C0..00D6    ; Changes_When_Lowercased
00D8..00DE    ; Changes_When_Lowercased
0100          ; Changes_When_Lowercased
0102          ; Changes_When_Lowercased
0104          ; Changes_When_Lowercased
0106          ; Changes_When_Lowercased
0108          ; Changes_When_Lowercased
010A          ; Changes_When_Lowercased
010C          ; Changes_When_Lowercased
010E          ; Changes_When_Lowercased
0110          ; Changes_When_Lowercased
0112          ; Changes_When_Lowercased
0114          ; Changes_When_Lowercased
0116          ; Changes_When_Lowercased
0118          ; Changes_When_Lowercased
011A          ; Changes_When_Lowercased
011C          ; Changes_When_Lowercased
011E          ; Changes_When_Lowercased
0120          ; Changes_When_Lowercased
0122          ; Changes_When_Lowercased
0124          ; Changes_When_Lowercased
0126          ; Changes_When_Lowercased
0128          ; Changes_When_Lowercased
012A          ; Changes_When_Lowercased
012C          ; Changes_When_Lowercased
012E          ; Changes_When_Lowercased
0130          ; Changes_When_Lowercased
0132          ; Changes_When_Lowercased
0134          ; Changes_When_Lowercased
0136          ; Changes_When_Lowercased
0139          ; Changes_When_Lowercased
013B          ; Changes_When_Lowercased
013D          ; Changes_When_Lowercased
013F          ; Changes_When_Lowercased
0141          ; Changes_When_Lowercased
0143          ; Changes_When_Lowercased
0145          ; Changes_When_Lowercased
0147          ; Changes_When_Lowercased
014A          ; Changes_When_Lowercased
014C          ; Changes_When_Lowercased
014E          ; Changes_When_Lowercased
0150          ; Changes_When_Lowercased
0152          ; Changes_When_Lowercased
0154          ; Changes_When_Lowercased
0156          ; Changes_When_Lowercased
0158          ; Changes_When_Lowercased
015A          ; Changes_When_Lowercased
015C          ; Changes_When_Lowercased
015E          ; Changes_When_Lowercased
0160          ; Changes_When_Lowercased
0162          ; Changes_When_Lowercased
0164          ; Changes_When_Lowercased
0166          ; Changes_When_Lowercased
0168          ; Changes_When_Lowercased
016A          ; Changes_When_Lowercased
016C          ; Changes_When_Lowercased
016E          ; Changes_When_Lowercased
0170          ; Changes_When_Lowercased
0172          ; Changes_When_Lowercased
0174          ; Changes_When_Lowercased
0176          ; Changes_When_Lowercased
0178..0179    ; Changes_When_Lowercased
017B          ; Changes_When_Lowercased
017D          ; Changes_When_Lowercased
0181..0182    ; Changes_When_Lowercased
0184          ; Changes_When_Lowercased
0186..0187    ; Changes_When_Lowercased
0189..018B    ; Changes_When_Lowercased
018E..0191    ; Changes_When_Lowercased
0193..0194    ; Changes_When_Lowercased
0196..0198    ; Changes_When_Lowercased
019C..019D    ; Changes_When_Lowercased
019F..01A0    ; Changes_When_Lowercased
01A2          ; Changes_When_Lowercased
01A4          ; Changes_When_Lowercased
01A6..01A7    ; Changes_When_Lowercased
01A9          ; Changes_When_Lowercased
01AC          ; Changes_When_Lowercased
01AE..01AF    ; Changes_When_Lowercased
01B1..01B3    ; Changes_When_Lowercased
01B5          ; Changes_When_Lowercased
01B7..01B8    ; Changes_When_Lowercased
01BC          ; Changes_When_Lowercased
01C4..01C5    ; Changes_When_Lowercased
01C7..01C8    ; Changes_When_Lowercased
01CA..01CB    ; Changes_When_Lowercased
01CD          ; Changes_When_Lowercased
01CF          ; Changes_When_Lowercased
01D1          ; Changes_When_Lowercased
01D3          ; Changes_When_Lowercased
01D5          ; Changes_When_Lowercased
01D7          ; Changes_When_Lowercased
01D9          ; Changes_When_Lowercased
01DB          ; Changes_When_Lowercased
01DE          ; Changes_When_Lowercased
01E0          ; Changes_When_Lowercased
01E2          ; Changes_When_Lowercased
01E4          ; Changes_When_Lowercased
01E6          ; Changes_When_Lowercased
01E8          ; Changes_When_Lowercased
01EA          ; Changes_When_Lowercased
01EC          ; Changes_When_Lowercased
01EE          ; Changes_When_Lowercased
01F1..01F2    ; Changes_When_Lowercased
01F4          ; Changes_When_Lowercased
01F6..01F8    ; Changes_When_Lowercased
01FA          ; Changes_When_Lowercased
01FC          ; Changes_When_Lowercased
01FE          ; Changes_When_Lowercased
0200          ; Changes_When_Lowercased
0202          ; Changes_When_Lowercased
0204          ; Changes_When_Lowercased
0206          ; Changes_When_Lowercased
0208          ; Changes_When_Lowercased
020A          ; Changes_When_Lowercased
020C          ; Changes_When_Lowercased
020E          ; Changes_When_Lowercased
0210          ; Changes_When_Lowercased
0212          ; Changes_When_Lowercased
0214          ; Changes_When_Lowercased
0216          ; Changes_When_Lowercased
0218          ; Changes_When_Lowercased
021A          ; Changes_When_Lowercased
021C          ; Changes_When_Lowercased
021E          ; Changes_When_Lowercased
0220          ; Changes_When_Lowercased
0222          ; Changes_When_Lowercased
0224          ; Changes_When_Lowercased
0226          ; Changes_When_Lowercased
0228          ; Changes_When_Lowercased
022A          ; Changes_When_Lowercased
022C          ; Changes_When_Lowercased
022E          ; Changes_When_Lowercased
0230          ; Changes_When_Lowercased
0232          ; Changes_When_Lowercased
023A..023B    ; Changes_When_Lowercased
023D..023E    ; Changes_When_Lowercased
0241          ; Changes_When_Lowercased
0243..0246    ; Changes_When_Lowercased
0248          ; Changes_When_Lowercased
024A          ; Changes_When_Lowercased
024C          ; Changes_When_Lowercased
024E          ; Changes_When_Lowercased
0370          ; Changes_When_Lowercased
0372          ; Changes_When_Lowercased
0376          ; Changes_When_Lowercased
037F          ; Changes_When_Lowercased
0386          ; Changes_When_Lowercased
0388..038A    ; Changes_When_Lowercased
038C          ; Changes_When_Lowercased
038E..038F    ; Changes_When_Lowercased
0391..03A1    ; Changes_When_Lowercased
03A3..03AB    ; Changes_When_Lowercased
03CF          ; Changes_When_Lowercased
03D8          ; Changes_When_Lowercased
03DA          ; Changes_When_Lowercased
03DC          ; Changes_When_Lowercased
03DE          ; Changes_When_Lowercased
03E0          ; Changes_When_Lowercased
03E2          ; Changes_When_Lowercased
03E4          ; Changes_When_Lowercased
03E6          ; Changes_When_Lowercased
03E8          ; Changes_When_Lowercased
03EA          ; Changes_When_Lowercased
03EC          ; Changes_When_Lowercased
03EE          ; Changes_When_Lowercased
03F4          ; Changes_When_Lowercased
03F7          ; Changes_When_Lowercased
03F9..03FA    ; Changes_When_Lowercased
03FD..042F    ; Changes_When_Lowercased
0460          ; Changes_When_Lowercased
0462          ; Changes_When_Lowercased
0464          ; Changes_When_Lowercased
0466          ; Changes_When_Lowercased
0468          ; Changes_When_Lowercased
046A          ; Changes_When_Lowercased
046C          ; Changes_When_Lowercased
046E          ; Changes_When_Lowercased
0470          ; Changes_When_Lowercased
0472          ; Changes_When_Lowercased
0474          ; Changes_When_Lowercased
0476          ; Changes_When_Lowercased
0478          ; Changes_When_Lowercased
047A          ; Changes_When_Lowercased
047C          ; Changes_When_Lowercased
047E          ; Changes_When_Lowercased
0480          ; Changes_When_Lowercased
048A          ; Changes_When_Lowercased
048C          ; Changes_When_Lowercased
048E          ; Changes_When_Lowercased
0490          ; Changes_When_Lowercased
0492          ; Changes_When_Lowercased
0494          ; Changes_When_Lowercased
0496          ; Changes_When_Lowercased
0498          ; Changes_When_Lowercased
049A          ; Changes_When_Lowercased
049C          ; Changes_When_Lowercased
049E          ; Changes_When_Lowercased
04A0          ; Changes_When_Lowercased
04A2          ; Changes_When_Lowercased
04A4          ; Changes_When_Lowercased
04A6          ; Changes_When_Lowercased
04A8          ; Changes_When_Lowercased
04AA          ; Changes_When_Lowercased
04AC          ; Changes_When_Lowercased
04AE          ; Changes_When_Lowercased
04B0          ; Changes_When_Lowercased
04B2          ; Changes_When_Lowercased
04B4          ; Changes_When_Lowercased
04B6          ; Changes_When_Lowercased
04B8          ; Changes_When_Lowercased
04BA          ; Changes_When_Lowercased
04BC          ; Changes_When_Lowercased
04BE          ; Changes_When_Lowercased
04C0..04C1    ; Changes_When_Lowercased
04C3          ; Changes_When_Lowercased
04C5          ; Changes_When_Lowercased
04C7          ; Changes_When_Lowercased
04C9          ; Changes_When_Lowercased
04CB          ; Changes_When_Lowercased
04CD          ; Changes_When_Lowercased
04D0          ; Changes_When_Lowercased
04D2          ; Changes_When_Lowercased
04D4          ; Changes_When_Lowercased
